,Unnamed: 0,Classes  
0,164,0
1,104,0
2,84,1
3,212,0
4,186,1
5,240,0
6,113,0
7,129,1
8,77,1
9,18,0
10,217,0
11,220,0
12,128,0
13,214,1
14,125,0
15,120,0
16,156,1
17,153,0
18,232,1
19,155,1
20,242,0
21,154,0
22,177,0
23,69,1
24,57,1
25,135,1
26,138,0
27,228,1
28,86,1
29,101,0
30,106,0
31,126,0
32,40,0
33,26,1
34,130,1
35,199,1
36,213,1
37,12,0
38,71,1
39,31,0
40,21,0
41,117,0
42,68,0
43,75,1
44,7,1
45,58,1
46,121,0
47,149,1
48,147,1
49,67,1
50,152,1
51,206,1
52,244,0
53,33,0
54,14,0
55,37,1
56,30,0
57,44,0
58,136,0
59,124,0
60,165,1
61,53,0
62,197,1
63,196,1
64,78,1
65,43,0
66,103,0
67,150,1
68,80,1
69,169,1
70,28,0
71,224,1
72,205,1
73,137,0
74,0,0
75,4,0
76,79,1
77,48,1
78,109,1
79,118,1
80,148,1
81,176,1
82,98,0
83,90,0
84,172,1
85,162,1
86,107,0
87,38,0
88,144,1
89,63,0
90,24,1
91,159,1
92,171,1
93,35,1
94,13,0
95,238,1
96,193,1
97,8,0
98,29,1
99,151,1
100,234,1
101,235,0
102,166,1
103,6,1
104,133,1
105,34,1
106,175,1
107,64,1
108,139,0
109,231,1
110,184,1
111,72,0
112,188,1
113,66,1
114,46,1
115,158,1
116,42,0
117,134,1
118,25,1
119,182,1
120,178,0
121,83,1
122,41,0
123,237,1
124,49,1
125,102,0
126,185,0
127,45,0
128,157,1
129,168,1
130,5,1
131,114,0
132,55,1
133,145,0
134,222,1
135,202,1
136,227,1
137,51,0
138,82,1
139,36,0
140,9,0
141,119,0
142,99,0
143,85,1
144,218,1
145,223,1
146,97,0
147,10,1
148,15,0
149,61,0
150,208,1
151,143,0
152,19,0
153,180,0
154,74,1
155,215,1
156,146,0
157,201,1
158,225,0
159,65,1
160,56,1
161,116,0
162,52,0
163,190,0
164,241,1
165,216,0
166,183,1
167,60,1
168,50,1
169,96,1
170,23,1
171,59,1
172,173,1
173,236,1
174,203,1
175,207,1
176,140,0
177,39,0
178,170,1
179,230,1
180,1,0
181,54,1
182,161,1
183,142,0
184,163,0
185,112,1
186,108,1
187,127,0
188,95,0
189,221,0
190,76,1
191,229,1
192,132,0
193,245,0
194,22,1
195,204,1
196,73,1
197,115,0
198,16,0
199,100,0
200,195,1
201,111,1
