,Unnamed: 0,Temperature
0,164,34.0
1,104,25.0
2,84,34.0
3,212,35.0
4,186,40.0
5,240,28.0
6,113,31.0
7,129,35.0
8,77,37.0
9,18,31.0
10,217,28.0
11,220,30.0
12,128,32.0
13,214,34.0
14,125,30.0
15,120,26.0
16,156,34.0
17,153,34.0
18,232,34.0
19,155,33.0
20,242,28.0
21,154,28.0
22,177,33.0
23,69,35.0
24,57,33.0
25,135,27.0
26,138,28.0
27,228,29.0
28,86,31.0
29,101,33.0
30,106,24.0
31,126,29.0
32,40,33.0
33,26,34.0
34,130,35.0
35,199,35.0
36,213,35.0
37,12,27.0
38,71,35.0
39,31,27.0
40,21,31.0
41,117,31.0
42,68,32.0
43,75,36.0
44,7,30.0
45,58,32.0
46,121,25.0
47,149,36.0
48,147,35.0
49,67,32.0
50,152,37.0
51,206,37.0
52,244,24.0
53,33,33.0
54,14,28.0
55,37,33.0
56,30,29.0
57,44,30.0
58,136,30.0
59,124,32.0
60,165,36.0
61,53,28.0
62,197,35.0
63,196,39.0
64,78,36.0
65,43,34.0
66,103,29.0
67,150,36.0
68,80,35.0
69,169,31.0
70,28,32.0
71,224,30.0
72,205,36.0
73,137,27.0
74,0,29.0
75,4,27.0
76,79,35.0
77,48,35.0
78,109,32.0
79,118,31.0
80,148,34.0
81,176,31.0
82,98,31.0
83,90,35.0
84,172,34.0
85,162,36.0
86,107,30.0
87,38,32.0
88,144,32.0
89,63,35.0
90,24,31.0
91,159,35.0
92,171,33.0
93,35,32.0
94,13,30.0
95,238,35.0
96,193,39.0
97,8,25.0
98,29,33.0
99,151,37.0
100,234,29.0
101,235,34.0
102,166,39.0
103,6,33.0
104,133,30.0
105,34,33.0
106,175,32.0
107,64,34.0
108,139,29.0
109,231,33.0
110,184,37.0
111,72,35.0
112,188,38.0
113,66,32.0
114,46,29.0
115,158,34.0
116,42,34.0
117,134,31.0
118,25,31.0
119,182,34.0
120,178,39.0
121,83,36.0
122,41,31.0
123,237,33.0
124,49,33.0
125,102,30.0
126,185,38.0
127,45,28.0
128,157,34.0
129,168,34.0
130,5,31.0
131,114,32.0
132,55,36.0
133,145,33.0
134,222,31.0
135,202,37.0
136,227,31.0
137,51,28.0
138,82,36.0
139,36,35.0
140,9,28.0
141,119,32.0
142,99,30.0
143,85,35.0
144,218,28.0
145,223,30.0
146,97,29.0
147,10,31.0
148,15,29.0
149,61,36.0
150,208,35.0
151,143,31.0
152,19,30.0
153,180,29.0
154,74,33.0
155,215,30.0
156,146,33.0
157,201,42.0
158,225,29.0
159,65,34.0
160,56,36.0
161,116,26.0
162,52,27.0
163,190,30.0
164,241,30.0
165,216,29.0
166,183,36.0
167,60,35.0
168,50,33.0
169,96,29.0
170,23,32.0
171,59,31.0
172,173,36.0
173,236,35.0
174,203,35.0
175,207,36.0
176,140,31.0
177,39,33.0
178,170,32.0
179,230,32.0
180,1,29.0
181,54,31.0
182,161,35.0
183,142,32.0
184,163,34.0
185,112,31.0
186,108,31.0
187,127,30.0
188,95,29.0
189,221,34.0
190,76,36.0
191,229,28.0
192,132,27.0
193,245,24.0
194,22,32.0
195,204,36.0
196,73,35.0
197,115,29.0
198,16,30.0
199,100,30.0
200,195,40.0
201,111,28.0
